date,namespace,contract_address,daily_incoming_txs,daily_active_users,daily_gas_used,daily_gas_cost_sei,daily_rank_within_namespace
2025-01-30 00:00:00.000 UTC,nucleus,0x24152894decc7384b05e8907d6adadd82c176499,1,1,54151,0.000108645735548173,3
2025-01-30 00:00:00.000 UTC,nucleus,0x6035832f65b0cf20064681505b73a6de307a04cb,1,1,54005,0.00010801,4
2025-01-30 00:00:00.000 UTC,oku,0xdd489c75be1039ec7d843a6ac2fd658350b067cf,16414,6,2400394830,8.109786526585502,1
2025-01-30 00:00:00.000 UTC,oku,0xa683c66045ad16abb1bce5ad46a64d95f9a25785,158,23,39223411,0.05337189232460181,2
2025-01-30 00:00:00.000 UTC,okx_swell,0x7251febeabb01ec9de53ece7a96f1c951f886dd2,12,2,4828659,0.006660142207884876,1
2025-01-30 00:00:00.000 UTC,openocean_v2,0x6352a56caadc4f1e25cd6c75970fa768a3304e64,123,22,68311468,0.17452015933979317,1
2025-01-30 00:00:00.000 UTC,pyth,0x2880ab155794e7179c9ee2e38200202908c17b43,25,1,8031459,0.009532584789145052,1
2025-01-30 00:00:00.000 UTC,quizmatch,0xd844298d9d42d652e263e2b4c750e5578d8b1e7a,15308,3285,659766204,0.752551612773835,1
2025-01-30 00:00:00.000 UTC,reservoir,0x224ecb4eae96d31372d1090c3b0233c8310dbbab,127,47,57054468,0.07505582085714615,1
2025-01-30 00:00:00.000 UTC,seaport,0x0000000000000068f116a894984e2db1123eb395,96,48,27129611,0.03294710630998018,1
2025-01-30 00:00:00.000 UTC,seaport,0x864baa13e01d8f9e26549dc91b458cd15e34eb7c,35,2,5351070,0.025839566164909403,2
2025-01-30 00:00:00.000 UTC,seaport,0x008ebccae39d001200c3003c3225ce0a00690066,1,1,277692,0.00030851581477692,3
2025-01-30 00:00:00.000 UTC,seaport,0x00b19a5200a100e5fc4c9800772f4d002f218400,1,1,253551,0.0002789061,4
2025-01-30 00:00:00.000 UTC,seipex,0xe70aaa288f801b208074171be87b804178ce5d11,3,3,276678,0.0003175410805374,1
